OrderID,OrderDate,CustomerName,Region,Product,Category,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderStatus,GrossRevenue,NetRevenue
1017,2025-01-14,Aisha Sharma,South,Running Shoes,Running Shoes,5,59.99,0.2,9.69,Credit Card,Delivered,299.95,239.96
1164,2025-03-26,Emma Brown,South,Wireless Mouse,Wireless Mouse,1,15.99,0.05,10.05,Credit Card,Delivered,15.99,15.1905
1016,2025-05-27,Grace Rodriguez,North,Backpack,Backpack,1,45.0,0.15,7.52,Credit Card,Delivered,45.0,38.25
1273,2025-05-22,David Rodriguez,South,Water Bottle,Water Bottle,4,12.5,0.15,5.89,Paypal,Delivered,50.0,42.5
1296,2025-03-20,Ahmed Brown,West,Phone Case,Phone Case,2,9.99,0.15,8.48,Debit Card,Delivered,19.98,16.983
1237,2025-04-11,Sara Rodriguez,East,Backpack,Backpack,2,45.0,0.15,10.25,Credit Card,Processing,90.0,76.5
1049,2025-05-28,Sara Johnson,South,Notebook Set,Notebook Set,1,6.5,0.0,9.58,Credit Card,Delivered,6.5,6.5
1036,2025-02-23,Tom Yousuf,West,Wireless Mouse,Wireless Mouse,2,15.99,0.0,6.24,Paypal,Shipped,31.98,31.98
1094,2025-02-02,David Smith,South,Yoga Mat,Yoga Mat,2,22.0,0.0,9.84,Credit Card,Delivered,44.0,44.0
1282,2025-03-09,Linda Ali,West,Backpack,Backpack,3,45.0,0.05,7.52,Credit Card,Shipped,135.0,128.25
1195,2025-03-26,Fatima Khan,North,Coffee Mug,Coffee Mug,4,8.25,0.15,11.31,Credit Card,Cancelled,33.0,28.05
1184,2025-04-05,Carlos Wilson,North,Usb Charger,Usb Charger,1,11.2,0.05,5.12,Paypal,Processing,11.2,10.64
1125,2025-02-27,Aisha Brown,North,Running Shoes,Running Shoes,1,59.99,0.0,10.63,Debit Card,Returned,59.99,59.99
1146,2025-05-25,Chen Li,North,Yoga Mat,Yoga Mat,3,22.0,0.2,11.56,Credit Card,Delivered,66.0,52.8
1119,2025-02-05,Carlos Wilson,South,Coffee Mug,Coffee Mug,2,8.25,0.0,10.2,Credit Card,Delivered,16.5,16.5
1207,2025-04-29,Layla Ahmed,South,Usb Charger,Usb Charger,1,11.2,0.15,5.98,Paypal,Delivered,11.2,9.52
1279,2025-02-19,Linda Farouk,South,Yoga Mat,Yoga Mat,1,22.0,0.0,11.9,Credit Card,Delivered,22.0,22.0
1304,2025-05-17,Maria Clark,North,Usb Charger,Usb Charger,2,11.2,0.2,3.91,Credit Card,Shipped,22.4,17.92
1160,2025-06-24,Omar Yousuf,South,Phone Case,Phone Case,3,9.99,0.15,5.13,Debit Card,Shipped,29.97,25.4745
1079,2025-06-24,Wei Brown,South,Backpack,Backpack,4,45.0,0.1,8.68,Paypal,Delivered,180.0,162.0
1206,2025-03-04,Tom Wilson,East,Desk Lamp,Desk Lamp,5,18.75,0.1,10.18,Credit Card,Delivered,93.75,84.375
1156,2025-05-25,Sara Wang,East,Phone Case,Phone Case,5,9.99,0.15,6.63,Credit Card,Cancelled,49.95,42.4575
1124,2025-04-22,Fatima Malik,North,Coffee Mug,Coffee Mug,1,8.25,0.2,11.02,Paypal,Cancelled,8.25,6.6
1310,2025-02-05,Priya Johnson,South,Bluetooth Speaker,Bluetooth Speaker,1,34.5,0.0,11.1,Paypal,Delivered,34.5,34.5
1021,2025-05-16,David Garcia,South,Wireless Mouse,Wireless Mouse,5,15.99,0.1,4.18,Credit Card,Returned,79.95,71.955
1073,2025-01-01,Priya Wilson,East,Backpack,Backpack,2,45.0,0.2,8.43,Debit Card,Cancelled,90.0,72.0
1224,2025-06-06,Linda Brown,South,Water Bottle,Water Bottle,3,12.5,0.2,4.68,Credit Card,Delivered,37.5,30.0
1251,2025-01-25,Aisha Farouk,North,Throw Pillow,Throw Pillow,1,14.0,0.1,6.85,Paypal,Shipped,14.0,12.6
1123,2025-06-14,Carlos Taylor,West,Yoga Mat,Yoga Mat,2,22.0,0.0,4.37,Debit Card,Shipped,44.0,44.0
1286,2025-05-15,Sara Davis,North,Running Shoes,Running Shoes,1,59.99,0.2,10.94,Credit Card,Delivered,59.99,47.992
1148,2025-04-23,Omar Khan,West,Throw Pillow,Throw Pillow,1,14.0,0.0,6.39,Credit Card,Delivered,14.0,14.0
1187,2025-05-01,Noah Lee,East,Coffee Mug,Coffee Mug,1,8.25,0.2,7.02,Paypal,Delivered,8.25,6.6
1015,2025-01-19,Chen Yousuf,South,Water Bottle,Water Bottle,2,12.5,0.0,11.2,Credit Card,Delivered,25.0,25.0
1031,2025-02-28,Emma Rodriguez,South,Coffee Mug,Coffee Mug,3,8.25,0.0,6.89,Credit Card,Shipped,24.75,24.75
1188,2025-02-09,Yusuf Yousuf,South,Notebook Set,Notebook Set,4,6.5,0.0,8.34,Debit Card,Delivered,26.0,26.0
1285,2025-04-15,Ahmed Rodriguez,South,Coffee Mug,Coffee Mug,2,8.25,0.2,10.87,Credit Card,Processing,16.5,13.2
1026,2025-03-29,Yusuf Ali,South,Notebook Set,Notebook Set,2,6.5,0.15,5.63,Debit Card,Delivered,13.0,11.05
1289,2025-06-16,Emma Brown,West,Usb Charger,Usb Charger,2,11.2,0.0,10.13,Paypal,Delivered,22.4,22.4
1265,2025-02-07,David Ahmed,North,Phone Case,Phone Case,1,9.99,0.0,10.7,Paypal,Processing,9.99,9.99
1162,2025-03-30,Chen Yousuf,South,Running Shoes,Running Shoes,4,59.99,0.2,11.62,Debit Card,Delivered,239.96,191.968
1111,2025-05-25,Ahmed Ahmed,North,Usb Charger,Usb Charger,5,11.2,0.05,11.0,Credit Card,Shipped,56.0,53.2
1039,2025-06-28,Linda Sharma,North,Water Bottle,Water Bottle,1,12.5,0.2,5.62,Credit Card,Delivered,12.5,10.0
1109,2025-01-21,Linda Brown,West,Running Shoes,Running Shoes,4,59.99,0.1,5.38,Debit Card,Processing,239.96,215.964
1133,2025-06-17,Carlos Ali,East,Phone Case,Phone Case,1,9.99,0.2,6.63,Debit Card,Delivered,9.99,7.992
1168,2025-03-07,Linda Wilson,South,Yoga Mat,Yoga Mat,5,22.0,0.15,6.37,Paypal,Delivered,110.0,93.5
1077,2025-05-05,David Yousuf,North,Running Shoes,Running Shoes,3,59.99,0.15,5.5,Credit Card,Shipped,179.97,152.9745
1306,2025-01-27,Linda Davis,North,Desk Lamp,Desk Lamp,1,18.75,0.05,4.47,Paypal,Delivered,18.75,17.8125
1211,2025-04-29,Chen Brown,South,Coffee Mug,Coffee Mug,3,8.25,0.05,4.78,Paypal,Shipped,24.75,23.5125
1314,2025-03-28,Noah Wang,North,Throw Pillow,Throw Pillow,2,14.0,0.15,8.76,Paypal,Shipped,28.0,23.8
1218,2025-01-30,Wei Wilson,South,Bluetooth Speaker,Bluetooth Speaker,2,34.5,0.0,7.84,Debit Card,Shipped,69.0,69.0
1087,2025-06-22,Yusuf Wang,South,Running Shoes,Running Shoes,3,59.99,0.0,11.02,Credit Card,Delivered,179.97,179.97
1185,2025-02-23,Ahmed Rodriguez,East,Notebook Set,Notebook Set,2,6.5,0.05,3.63,Debit Card,Returned,13.0,12.35
1121,2025-06-23,Fatima Farouk,South,Wireless Mouse,Wireless Mouse,4,15.99,0.0,8.69,Paypal,Returned,63.96,63.96
1080,2025-03-07,Chen Li,West,Water Bottle,Water Bottle,5,12.5,0.15,11.14,Debit Card,Shipped,62.5,53.125
1172,2025-05-18,Olivia Hassan,South,Running Shoes,Running Shoes,5,59.99,0.2,9.28,Paypal,Processing,299.95,239.96
1047,2025-06-16,Aisha Brown,North,Usb Charger,Usb Charger,1,11.2,0.2,5.19,Credit Card,Returned,11.2,8.96
1257,2025-02-20,Chen Malik,South,Bluetooth Speaker,Bluetooth Speaker,1,34.5,0.0,4.28,Credit Card,Cancelled,34.5,34.5
1102,2025-06-18,Priya Yousuf,South,Notebook Set,Notebook Set,1,6.5,0.1,5.82,Debit Card,Delivered,6.5,5.85
1035,2025-02-02,David Clark,South,Throw Pillow,Throw Pillow,2,14.0,0.1,6.72,Credit Card,Shipped,28.0,25.2
1008,2025-05-24,Omar Li,North,Desk Lamp,Desk Lamp,1,18.75,0.0,7.14,Debit Card,Processing,18.75,18.75
1044,2025-02-26,Priya Yousuf,East,Throw Pillow,Throw Pillow,2,14.0,0.05,6.81,Credit Card,Delivered,28.0,26.6
1287,2025-04-05,Maria Hassan,West,Throw Pillow,Throw Pillow,2,14.0,0.0,11.35,Paypal,Delivered,28.0,28.0
1294,2025-02-26,Maria Wang,South,Throw Pillow,Throw Pillow,2,14.0,0.0,7.54,Paypal,Shipped,28.0,28.0
1170,2025-05-30,Emma Farouk,South,Desk Lamp,Desk Lamp,3,18.75,0.0,9.06,Paypal,Delivered,56.25,56.25
1216,2025-04-28,Layla Ahmed,North,Phone Case,Phone Case,3,9.99,0.0,7.66,Debit Card,Shipped,29.97,29.97
1113,2025-06-15,Maria Garcia,North,Phone Case,Phone Case,2,9.99,0.0,6.77,Paypal,Shipped,19.98,19.98
1127,2025-03-15,Olivia Davis,South,Running Shoes,Running Shoes,1,59.99,0.2,5.53,Debit Card,Delivered,59.99,47.992
1053,2025-01-08,Omar Wang,West,Notebook Set,Notebook Set,4,6.5,0.0,5.3,Debit Card,Delivered,26.0,26.0
1210,2025-03-26,Fatima Taylor,West,Wireless Mouse,Wireless Mouse,4,15.99,0.2,5.7,Credit Card,Delivered,63.96,51.168
1303,2025-02-28,Aisha Rodriguez,South,Yoga Mat,Yoga Mat,4,22.0,0.0,3.69,Paypal,Delivered,88.0,88.0
1208,2025-03-06,Priya Lee,South,Yoga Mat,Yoga Mat,2,22.0,0.0,10.21,Paypal,Processing,44.0,44.0
1307,2025-04-15,Yusuf Davis,East,Water Bottle,Water Bottle,3,12.5,0.15,7.72,Paypal,Delivered,37.5,31.875
1023,2025-06-21,David Brown,South,Desk Lamp,Desk Lamp,4,18.75,0.0,11.4,Debit Card,Delivered,75.0,75.0
1051,2025-06-12,Priya Lee,West,Bluetooth Speaker,Bluetooth Speaker,4,34.5,0.0,9.74,Paypal,Delivered,138.0,138.0
1183,2025-02-06,Layla Lee,West,Water Bottle,Water Bottle,2,12.5,0.0,11.73,Credit Card,Shipped,25.0,25.0
1012,2025-01-05,Noah Smith,North,Notebook Set,Notebook Set,3,6.5,0.05,10.57,Debit Card,Cancelled,19.5,18.525
1005,2025-03-13,Sara Khan,West,Water Bottle,Water Bottle,1,12.5,0.05,6.52,Debit Card,Delivered,12.5,11.875
1043,2025-05-28,Carlos Sharma,West,Running Shoes,Running Shoes,1,59.99,0.2,6.49,Credit Card,Delivered,59.99,47.992
1059,2025-03-29,Chen Ali,South,Coffee Mug,Coffee Mug,5,8.25,0.05,10.82,Credit Card,Delivered,41.25,39.1875
1298,2025-04-28,Wei Rodriguez,South,Phone Case,Phone Case,4,9.99,0.1,5.03,Debit Card,Cancelled,39.96,35.964
