OrderID,OrderDate,CustomerName,Region,Product,Category,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderStatus,GrossRevenue,NetRevenue,,,,
1017,1/14/2025,Aisha Sharma,South,Running Shoes,Running Shoes,5,59.99,0.2,9.69,Credit Card,Delivered,299.95,239.96,,,,
1164,3/26/2025,Emma Brown,South,Wireless Mouse,Wireless Mouse,1,15.99,0.05,10.05,Credit Card,Delivered,15.99,15.1905,,,,
1016,5/27/2025,Grace Rodriguez,North,Backpack,Backpack,1,45,0.15,7.52,Credit Card,Delivered,45,38.25,,,,
1273,5/22/2025,David Rodriguez,South,Water Bottle,Water Bottle,4,12.5,0.15,5.89,Paypal,Delivered,50,42.5,,,,
1296,3/20/2025,Ahmed Brown,West,Phone Case,Phone Case,2,9.99,0.15,8.48,Debit Card,Delivered,19.98,16.983,,,,
1237,04-11-2025,Sara Rodriguez,East,Backpack,Backpack,2,45,0.15,10.25,Credit Card,Processing,90,76.5,,,,
1049,5/28/2025,Sara Johnson,South,Notebook Set,Notebook Set,1,6.5,0,9.58,Credit Card,Delivered,6.5,6.5,,,,
1036,2/23/2025,Tom Yousuf,West,Wireless Mouse,Wireless Mouse,2,15.99,0,6.24,Paypal,Shipped,31.98,31.98,,,,
1094,02-02-2025,David Smith,South,Yoga Mat,Yoga Mat,2,22,0,9.84,Credit Card,Delivered,44,44,,,,
1282,03-09-2025,Linda Ali,West,Backpack,Backpack,3,45,0.05,7.52,Credit Card,Shipped,135,128.25,,,,
1195,3/26/2025,Fatima Khan,North,Coffee Mug,Coffee Mug,4,8.25,0.15,11.31,Credit Card,Cancelled,33,28.05,,,,
1184,04-05-2025,Carlos Wilson,North,USB Charger,Usb Charger,1,11.2,0.05,5.12,Paypal,Processing,11.2,10.64,,,,
1125,2/27/2025,Aisha Brown,North,Running Shoes,Running Shoes,1,59.99,0,10.63,Debit Card,Returned,59.99,59.99,,,,
1146,5/25/2025,Chen Li,North,Yoga Mat,Yoga Mat,3,22,0.2,11.56,Credit Card,Delivered,66,52.8,,,,
1119,02-05-2025,Carlos Wilson,South,Coffee Mug,Coffee Mug,2,8.25,0,10.2,Credit Card,Delivered,16.5,16.5,,,,
1207,4/29/2025,Layla Ahmed,South,USB Charger,Usb Charger,1,11.2,0.15,5.98,Paypal,Delivered,11.2,9.52,,,,
1279,2/19/2025,Linda Farouk,South,Yoga Mat,Yoga Mat,1,22,0,11.9,Credit Card,Delivered,22,22,,,,
1304,5/17/2025,Maria Clark,North,USB Charger,Usb Charger,2,11.2,0.2,3.91,Credit Card,Shipped,22.4,17.92,,,,
1160,6/24/2025,Omar Yousuf,South,Phone Case,Phone Case,3,9.99,0.15,5.13,Debit Card,Shipped,29.97,25.4745,,,,
1079,6/24/2025,Wei Brown,South,Backpack,Backpack,4,45,0.1,8.68,Paypal,Delivered,180,162,,,,
1206,03-04-2025,Tom Wilson,East,Desk Lamp,Desk Lamp,5,18.75,0.1,10.18,Credit Card,Delivered,93.75,84.375,,,,
1156,5/25/2025,Sara Wang,East,Phone Case,Phone Case,5,9.99,0.15,6.63,Credit Card,Cancelled,49.95,42.4575,,,,
1124,4/22/2025,Fatima Malik,North,Coffee Mug,Coffee Mug,1,8.25,0.2,11.02,Paypal,Cancelled,8.25,6.6,,,,
1310,02-05-2025,Priya Johnson,South,Bluetooth Speaker,Bluetooth Speaker,1,34.5,0,11.1,Paypal,Delivered,34.5,34.5,,,,
1021,5/16/2025,David Garcia,South,Wireless Mouse,Wireless Mouse,5,15.99,0.1,4.18,Credit Card,Returned,79.95,71.955,,,,
1073,01-01-2025,Priya Wilson,East,Backpack,Backpack,2,45,0.2,8.43,Debit Card,Cancelled,90,72,,,,
1224,06-06-2025,Linda Brown,South,Water Bottle,Water Bottle,3,12.5,0.2,4.68,Credit Card,Delivered,37.5,30,,,,
1251,1/25/2025,Aisha Farouk,North,Throw Pillow,Throw Pillow,1,14,0.1,6.85,Paypal,Shipped,14,12.6,,,,
1123,6/14/2025,Carlos Taylor,West,Yoga Mat,Yoga Mat,2,22,0,4.37,Debit Card,Shipped,44,44,,,,
1286,5/15/2025,Sara Davis,North,Running Shoes,Running Shoes,1,59.99,0.2,10.94,Credit Card,Delivered,59.99,47.992,,,,
1148,4/23/2025,Omar Khan,West,Throw Pillow,Throw Pillow,1,14,0,6.39,Credit Card,Delivered,14,14,,,,
1187,05-01-2025,Noah Lee,East,Coffee Mug,Coffee Mug,1,8.25,0.2,7.02,Paypal,Delivered,8.25,6.6,,,,
1015,1/19/2025,Chen Yousuf,South,Water Bottle,Water Bottle,2,12.5,0,11.2,Credit Card,Delivered,25,25,,,,
1031,2/28/2025,Emma Rodriguez,South,Coffee Mug,Coffee Mug,3,8.25,0,6.89,Credit Card,Shipped,24.75,24.75,,,,
1188,02-09-2025,Yusuf Yousuf,South,Notebook Set,Notebook Set,4,6.5,0,8.34,Debit Card,Delivered,26,26,,,,
1285,4/15/2025,Ahmed Rodriguez,South,Coffee Mug,Coffee Mug,2,8.25,0.2,10.87,Credit Card,Processing,16.5,13.2,,,,
1026,3/29/2025,Yusuf Ali,South,Notebook Set,Notebook Set,2,6.5,0.15,5.63,Debit Card,Delivered,13,11.05,,,,
1289,6/16/2025,Emma Brown,West,USB Charger,Usb Charger,2,11.2,0,10.13,Paypal,Delivered,22.4,22.4,,,,
1265,02-07-2025,David Ahmed,North,Phone Case,Phone Case,1,9.99,0,10.7,Paypal,Processing,9.99,9.99,,,,
1162,3/30/2025,Chen Yousuf,South,Running Shoes,Running Shoes,4,59.99,0.2,11.62,Debit Card,Delivered,239.96,191.968,,,,
1111,5/25/2025,Ahmed Ahmed,North,USB Charger,Usb Charger,5,11.2,0.05,11,Credit Card,Shipped,56,53.2,,,,
1039,6/28/2025,Linda Sharma,North,Water Bottle,Water Bottle,1,12.5,0.2,5.62,Credit Card,Delivered,12.5,10,,,,
1109,1/21/2025,Linda Brown,West,Running Shoes,Running Shoes,4,59.99,0.1,5.38,Debit Card,Processing,239.96,215.964,,,,
1133,6/17/2025,Carlos Ali,East,Phone Case,Phone Case,1,9.99,0.2,6.63,Debit Card,Delivered,9.99,7.992,,,,
1168,03-07-2025,Linda Wilson,South,Yoga Mat,Yoga Mat,5,22,0.15,6.37,Paypal,Delivered,110,93.5,,,,
1077,05-05-2025,David Yousuf,North,Running Shoes,Running Shoes,3,59.99,0.15,5.5,Credit Card,Shipped,179.97,152.9745,,,,
1306,1/27/2025,Linda Davis,North,Desk Lamp,Desk Lamp,1,18.75,0.05,4.47,Paypal,Delivered,18.75,17.8125,,,,
1211,4/29/2025,Chen Brown,South,Coffee Mug,Coffee Mug,3,8.25,0.05,4.78,Paypal,Shipped,24.75,23.5125,,,,
1314,3/28/2025,Noah Wang,North,Throw Pillow,Throw Pillow,2,14,0.15,8.76,Paypal,Shipped,28,23.8,,,,
1218,1/30/2025,Wei Wilson,South,Bluetooth Speaker,Bluetooth Speaker,2,34.5,0,7.84,Debit Card,Shipped,69,69,,,,
1087,6/22/2025,Yusuf Wang,South,Running Shoes,Running Shoes,3,59.99,0,11.02,Credit Card,Delivered,179.97,179.97,,,,
1185,2/23/2025,Ahmed Rodriguez,East,Notebook Set,Notebook Set,2,6.5,0.05,3.63,Debit Card,Returned,13,12.35,,,,
1121,6/23/2025,Fatima Farouk,South,Wireless Mouse,Wireless Mouse,4,15.99,0,8.69,Paypal,Returned,63.96,63.96,,,,
1080,03-07-2025,Chen Li,West,Water Bottle,Water Bottle,5,12.5,0.15,11.14,Debit Card,Shipped,62.5,53.125,,,,
1172,5/18/2025,Olivia Hassan,South,Running Shoes,Running Shoes,5,59.99,0.2,9.28,Paypal,Processing,299.95,239.96,,,,
1047,6/16/2025,Aisha Brown,North,USB Charger,Usb Charger,1,11.2,0.2,5.19,Credit Card,Returned,11.2,8.96,,,,
1257,2/20/2025,Chen Malik,South,Bluetooth Speaker,Bluetooth Speaker,1,34.5,0,4.28,Credit Card,Cancelled,34.5,34.5,,,,
1102,6/18/2025,Priya Yousuf,South,Notebook Set,Notebook Set,1,6.5,0.1,5.82,Debit Card,Delivered,6.5,5.85,,,,
1035,02-02-2025,David Clark,South,Throw Pillow,Throw Pillow,2,14,0.1,6.72,Credit Card,Shipped,28,25.2,,,,
1008,5/24/2025,Omar Li,North,Desk Lamp,Desk Lamp,1,18.75,0,7.14,Debit Card,Processing,18.75,18.75,,,,
1044,2/26/2025,Priya Yousuf,East,Throw Pillow,Throw Pillow,2,14,0.05,6.81,Credit Card,Delivered,28,26.6,,,,
1287,04-05-2025,Maria Hassan,West,Throw Pillow,Throw Pillow,2,14,0,11.35,Paypal,Delivered,28,28,,,,
1294,2/26/2025,Maria Wang,South,Throw Pillow,Throw Pillow,2,14,0,7.54,Paypal,Shipped,28,28,,,,
1170,5/30/2025,Emma Farouk,South,Desk Lamp,Desk Lamp,3,18.75,0,9.06,Paypal,Delivered,56.25,56.25,,,,
1216,4/28/2025,Layla Ahmed,North,Phone Case,Phone Case,3,9.99,0,7.66,Debit Card,Shipped,29.97,29.97,,,,
1113,6/15/2025,Maria Garcia,North,Phone Case,Phone Case,2,9.99,0,6.77,Paypal,Shipped,19.98,19.98,,,,
1127,3/15/2025,Olivia Davis,South,Running Shoes,Running Shoes,1,59.99,0.2,5.53,Debit Card,Delivered,59.99,47.992,,,,
1053,01-08-2025,Omar Wang,West,Notebook Set,Notebook Set,4,6.5,0,5.3,Debit Card,Delivered,26,26,,,,
1210,3/26/2025,Fatima Taylor,West,Wireless Mouse,Wireless Mouse,4,15.99,0.2,5.7,Credit Card,Delivered,63.96,51.168,,,,
1303,2/28/2025,Aisha Rodriguez,South,Yoga Mat,Yoga Mat,4,22,0,3.69,Paypal,Delivered,88,88,,,,
1208,03-06-2025,Priya Lee,South,Yoga Mat,Yoga Mat,2,22,0,10.21,Paypal,Processing,44,44,,,,
1307,4/15/2025,Yusuf Davis,East,Water Bottle,Water Bottle,3,12.5,0.15,7.72,Paypal,Delivered,37.5,31.875,,,,
1023,6/21/2025,David Brown,South,Desk Lamp,Desk Lamp,4,18.75,0,11.4,Debit Card,Delivered,75,75,,,,
1051,06-12-2025,Priya Lee,West,Bluetooth Speaker,Bluetooth Speaker,4,34.5,0,9.74,Paypal,Delivered,138,138,,,,
1183,02-06-2025,Layla Lee,West,Water Bottle,Water Bottle,2,12.5,0,11.73,Credit Card,Shipped,25,25,,,,
1012,01-05-2025,Noah Smith,North,Notebook Set,Notebook Set,3,6.5,0.05,10.57,Debit Card,Cancelled,19.5,18.525,,,,
1005,3/13/2025,Sara Khan,West,Water Bottle,Water Bottle,1,12.5,0.05,6.52,Debit Card,Delivered,12.5,11.875,,,,
1043,5/28/2025,Carlos Sharma,West,Running Shoes,Running Shoes,1,59.99,0.2,6.49,Credit Card,Delivered,59.99,47.992,,,,
1059,3/29/2025,Chen Ali,South,Coffee Mug,Coffee Mug,5,8.25,0.05,10.82,Credit Card,Delivered,41.25,39.1875,,,,
1298,4/28/2025,Wei Rodriguez,South,Phone Case,Phone Case,4,9.99,0.1,5.03,Debit Card,Cancelled,39.96,35.964,,,,
1255,3/18/2025,Aisha Clark,East,Backpack,Backpack,1,45,0.15,6.94,Paypal,Delivered,45,38.25,,,,
1010,1/30/2025,Omar Davis,South,Desk Lamp,Desk Lamp,1,18.75,0.15,10.03,Paypal,Processing,18.75,15.9375,,,,
1293,02-05-2025,Olivia Clark,South,USB Charger,Usb Charger,3,11.2,0.15,11.98,Credit Card,Shipped,33.6,28.56,,,,
1233,1/19/2025,David Johnson,South,Running Shoes,Running Shoes,1,59.99,0.05,10.35,Credit Card,Delivered,59.99,56.9905,,,,
1226,6/17/2025,Wei Sharma,South,Wireless Mouse,Wireless Mouse,2,15.99,0.2,9.55,Paypal,Delivered,31.98,25.584,,,,
1096,1/21/2025,Priya Johnson,East,Coffee Mug,Coffee Mug,5,8.25,0,4.57,Paypal,Delivered,41.25,41.25,,,,
1169,4/13/2025,Olivia Clark,South,Running Shoes,Running Shoes,3,59.99,0,4.7,Credit Card,Delivered,179.97,179.97,,,,
1145,06-12-2025,Noah Ali,North,Bluetooth Speaker,Bluetooth Speaker,2,34.5,0,6.07,Debit Card,Delivered,69,69,,,,
1088,4/15/2025,Ahmed Farouk,North,Throw Pillow,Throw Pillow,2,14,0.15,3.82,Paypal,Delivered,28,23.8,,,,
1266,3/24/2025,Tom Wang,South,Bluetooth Speaker,Bluetooth Speaker,3,34.5,0,7.21,Paypal,Processing,103.5,103.5,,,,
1260,04-02-2025,Noah Brown,West,USB Charger,Usb Charger,1,11.2,0.05,6.42,Paypal,Processing,11.2,10.64,,,,
1086,5/23/2025,Ahmed Li,East,Water Bottle,Water Bottle,4,12.5,0.2,3.62,Credit Card,Processing,50,40,,,,
1249,5/19/2025,Wei Smith,East,Running Shoes,Running Shoes,1,59.99,0,3.51,Credit Card,Returned,59.99,59.99,,,,
1253,4/26/2025,Chen Johnson,West,Yoga Mat,Yoga Mat,1,22,0,8.06,Debit Card,Delivered,22,22,,,,
1243,04-06-2025,Noah Davis,South,Throw Pillow,Throw Pillow,2,14,0,4.5,Debit Card,Processing,28,28,,,,
1001,2/27/2025,Linda Smith,South,Throw Pillow,Throw Pillow,2,14,0,11.08,Credit Card,Shipped,28,28,,,,
1101,05-04-2025,Chen Davis,South,Water Bottle,Water Bottle,1,12.5,0.15,8.23,Credit Card,Delivered,12.5,10.625,,,,
1313,05-05-2025,Aisha Taylor,North,Wireless Mouse,Wireless Mouse,1,15.99,0.05,4.04,Credit Card,Delivered,15.99,15.1905,,,,
1118,3/26/2025,Ahmed Ali,South,Backpack,Backpack,4,45,0.15,9.2,Paypal,Delivered,180,153,,,,
1022,06-02-2025,Emma Clark,North,Bluetooth Speaker,Bluetooth Speaker,2,34.5,0.1,9.09,Paypal,Delivered,69,62.1,,,,
